"City","Excess heat factor","RRfit","RRlow","RRhigh"
"Melbourne",-62.3,-2.8055652091882,-19.148077665114,16.8402417839518
"Melbourne",-62.2,-2.80033858630532,-19.1089492793752,16.796284567583
"Melbourne",-62.1,-2.79511301912132,-19.069821729835,16.7523692017951
"Melbourne",-62,-2.78988851374203,-19.030695123002,16.7084957630065
"Melbourne",-61.9,-2.78466507627451,-18.9915695655597,16.6646643275064
"Melbourne",-61.8,-2.77944271282704,-18.9524451643671,16.6208749714549
"Melbourne",-61.7,-2.77422142950918,-18.9133220264579,16.5771277708837
"Melbourne",-61.6,-2.76900123243169,-18.8742002590412,16.5334228016959
"Melbourne",-61.5,-2.76378212770656,-18.8350799695007,16.489760139667
"Melbourne",-61.4,-2.75856412144705,-18.7959612653954,16.4461398604445
"Melbourne",-61.3,-2.7533472197676,-18.756844254459,16.402562039549
"Melbourne",-61.2,-2.74813142878393,-18.7177290446001,16.359026752374
"Melbourne",-61.1,-2.74291675461297,-18.6786157439022,16.3155340741863
"Melbourne",-61,-2.73770320337288,-18.6395044606233,16.2720840801267
"Melbourne",-60.9,-2.73249078118303,-18.6003953031962,16.2286768452099
"Melbourne",-60.8,-2.72727949416407,-18.5612883802284,16.1853124443254
"Melbourne",-60.7,-2.72206934843783,-18.5221838005018,16.1419909522369
"Melbourne",-60.6,-2.71686035012738,-18.483081672973,16.0987124435838
"Melbourne",-60.5,-2.71165250535705,-18.4439821067728,16.0554769928808
"Melbourne",-60.4,-2.70644582025235,-18.4048852112066,16.0122846745182
"Melbourne",-60.3,-2.70124030094003,-18.3657910957539,15.9691355627628
"Melbourne",-60.2,-2.69603595354808,-18.3266998700686,15.9260297317578
"Melbourne",-60.1,-2.6908327842057,-18.2876116439786,15.8829672555232
"Melbourne",-60,-2.68563079904331,-18.2485265274862,15.8399482079562
"Melbourne",-59.9,-2.68043000419257,-18.2094446307673,15.7969726628317
"Melbourne",-59.8,-2.67523040578634,-18.1703660641722,15.7540406938025
"Melbourne",-59.7,-2.67003200995872,-18.1312909382246,15.7111523743994
"Melbourne",-59.6,-2.66483482284502,-18.0922193636225,15.6683077780321
"Melbourne",-59.5,-2.65963885058177,-18.0531514512373,15.625506977989
"Melbourne",-59.4,-2.65444409930672,-18.0140873121141,15.5827500474381
"Melbourne",-59.3,-2.64925057515885,-17.9750270574716,15.5400370594267
"Melbourne",-59.2,-2.64405828427832,-17.9359707987019,15.4973680868824
"Melbourne",-59.1,-2.63886723280655,-17.8969186473706,15.454743202613
"Melbourne",-59,-2.63367742688616,-17.8578707152165,15.4121624793068
"Melbourne",-58.9,-2.62848887266098,-17.8188271141518,15.3696259895336
"Melbourne",-58.8,-2.62330157627606,-17.7797879562615,15.3271338057441
"Melbourne",-58.7,-2.61811554387765,-17.740753353804,15.2846860002711
"Melbourne",-58.6,-2.61293078161324,-17.7017234192103,15.2422826453293
"Melbourne",-58.5,-2.6077472956315,-17.6626982650845,15.199923813016
"Melbourne",-58.4,-2.60256509208234,-17.6236780042034,15.157609575311
"Melbourne",-58.3,-2.59738417711686,-17.5846627495163,15.1153400040777
"Melbourne",-58.2,-2.59220455688738,-17.5456526141452,15.0731151710626
