"","location","Parameter","Coefficient","SE","LCI","UCI","RR","RR LCI","RR UCI","t-value","p-value","sig"
"45",,"ns(Date, 4 * .no.years)16",-4.35530716908984,0.490026327105852,-5.31574112169375,-3.39487321648592,0.0128384953894986,0.00491363580348942,0.0335448068310485,-8.88790444140572,0,"***"
"46",,"ns(Date, 4 * .no.years)17",-4.36711375434874,0.472762852181645,-5.2937119178532,-3.44051559084428,0.0126878079018468,0.00502308035036412,0.0320481573308891,-9.2374300015239,0,"***"
"47",,"ns(Date, 4 * .no.years)18",-4.44466846337057,0.487926223868583,-5.40098628926562,-3.48835063747552,0.0117409979566376,0.00451212848337898,0.0305512206767959,-9.10930432910628,0,"***"
"48",,"ns(Date, 4 * .no.years)19",-4.33800227842693,0.538037127670464,-5.39253567100641,-3.28346888584744,0.0130625975880838,0.00455042032572203,0.0374979548117101,-8.06264485354227,0,"***"
"49",,"ns(Date, 4 * .no.years)20",-4.36834672185798,0.490937128783556,-5.33056581294725,-3.40612763076871,0.0126721738870371,0.0048413299499731,0.0331693961540871,-8.89797586237136,0,"***"
"50",,"ns(Date, 4 * .no.years)21",-4.41495481311372,0.47258286786262,-5.3412002138351,-3.48870941239233,0.0120951006526676,0.00479011809279467,0.0305402616311718,-9.34218126247681,0,"***"
"51",,"ns(Date, 4 * .no.years)22",-4.42368141298862,0.488584427482049,-5.38128929426056,-3.46607353171668,0.0119900107544844,0.00460188491972379,0.0312394508772898,-9.0540777891476,0,"***"
"52",,"ns(Date, 4 * .no.years)23",-4.51507231130584,0.536323974971126,-5.56624798629461,-3.46389663631707,0.0109428138090652,0.00382480426219799,0.0313075299678356,-8.41855393756902,0,"***"
"53",,"ns(Date, 4 * .no.years)24",-4.3819266056291,0.490130062961135,-5.34256387677327,-3.42128933448492,0.0125012504255982,0.00478359043805406,0.0326702848471897,-8.94033428424195,0,"***"
"54",,"ns(Date, 4 * .no.years)25",-4.42126887717564,0.472956274632498,-5.34824614171757,-3.49429161263371,0.0120189720058086,0.00475648589034023,0.0303702547230888,-9.34815566325049,0,"***"
"55",,"ns(Date, 4 * .no.years)26",-4.48487830638809,0.487636819221283,-5.44062890959747,-3.5291277031787,0.0112782599294191,0.004336754986074,0.0293304896043233,-9.19716914229339,0,"***"
"56",,"ns(Date, 4 * .no.years)27",-4.42954100927633,0.53741565153925,-5.48285633102139,-3.37622568753127,0.0119199595682463,0.00415743770397037,0.034176203283319,-8.24229997133387,0,"***"
"57",,"ns(Date, 4 * .no.years)28",-4.37310519999703,0.489711298105455,-5.33292170710608,-3.41328869288798,0.0126120168660678,0.00482993771374351,0.0329327164980547,-8.92996591443826,0,"***"
"58",,"ns(Date, 4 * .no.years)29",-4.43257473153241,0.473055864958941,-5.35974718952738,-3.50540227353744,0.011883852518685,0.00470209469611557,0.0300346887531897,-9.3700872557983,0,"***"
"59",,"ns(Date, 4 * .no.years)30",-4.53629340670591,0.487409350837714,-5.49159818007588,-3.58098863333594,0.0107130419414322,0.00412125240476019,0.0278481530289972,-9.30694784355152,0,"***"
"60",,"ns(Date, 4 * .no.years)31",-4.14803908726091,0.537477129813317,-5.20147490420897,-3.09460327031285,0.0157953594582843,0.00550843401393703,0.0452929779652729,-7.71761040084005,0,"***"
"61",,"ns(Date, 4 * .no.years)32",-4.4692785626949,0.489422058596632,-5.42852817078375,-3.51002895460605,0.0114555773509225,0.00438955172096789,0.0298960487960788,-9.13174730111288,0,"***"
"62",,"ns(Date, 4 * .no.years)33",-4.40017282334457,0.473350355351429,-5.3279224719026,-3.47242317478653,0.0122752182754627,0.00485414416484927,0.031041719939303,-9.29580547177946,0,"***"
"63",,"ns(Date, 4 * .no.years)34",-4.59523687062767,0.486779615780708,-5.5493073859661,-3.64116635528923,0.0100998281449854,0.00389015068356868,0.0262217422551514,-9.44007662124003,0,"***"
"64",,"ns(Date, 4 * .no.years)35",-3.73876114133231,0.541931908417725,-4.80092816390411,-2.67659411876051,0.0237835493439442,0.0082221120386878,0.0687970702338064,-6.89895000323628,0,"***"
"65",,"ns(Date, 4 * .no.years)36",-4.53733465379631,0.488765170035822,-5.49529678396412,-3.5793725236285,0.0107018928231821,0.00410603767855865,0.0278931950860911,-9.28326102587008,0,"***"
"66",,"ns(Date, 4 * .no.years)37",-4.42555212915753,0.473322716128977,-5.353247605835,-3.49785665248006,0.011967601814419,0.00473275588867699,0.0302621763212304,-9.34996774579398,0,"***"
"67",,"ns(Date, 4 * .no.years)38",-4.52802489585109,0.486954251903504,-5.4824376917006,-3.57361210000158,0.0108019900725382,0.00415917853523176,0.0280543353786838,-9.29866589756849,0,"***"
"68",,"ns(Date, 4 * .no.years)39",-4.45606138430887,0.539979348036501,-5.51440145885583,-3.39772130976191,0.011607992792495,0.00402833774290641,0.033449404014818,-8.2522811298473,0,"***"
"69",,"ns(Date, 4 * .no.years)40",-4.48146806033491,0.489429256848933,-5.44073177673902,-3.5222043439308,0.0113167872272742,0.0043363088994292,0.0295342596935966,-9.15651853178479,0,"***"
"70",,"ns(Date, 4 * .no.years)41",-4.44586968591423,0.472936906611095,-5.37280898983176,-3.5189303819967,0.0117269028725682,0.00464107624711102,0.029631112194774,-9.40055560005208,0,"***"
"71",,"ns(Date, 4 * .no.years)42",-4.68676478915108,0.487832245594135,-5.64289842101288,-3.73063115728928,0.00921645515148618,0.00354258560691624,0.0239776973613625,-9.60732881329529,0,"***"
"72",,"ns(Date, 4 * .no.years)43",-3.82987761453987,0.541048925459426,-4.89031402231444,-2.7694412067653,0.0217122727337388,0.00751906095130476,0.0626970296314001,-7.07861606284084,0,"***"
